run_id,harderLASSO ANN,LASSO ANN
36,"([7, 14, 16, 17, 25, 33, 39, 46, 47, 48], np.float64(12.885873015872745))","([], np.float64(356.45633548619634))"
37,"([0, 6, 9, 12, 15, 30, 33, 34], np.float64(90.46652753279223))","([], np.float64(356.55864195015386))"
38,"([3, 8, 9, 14, 19, 21], np.float64(140.81516843863122))","([], np.float64(365.48878413181683))"
39,"([4, 5, 10, 14, 33, 35, 46, 49], np.float64(92.36585727008054))","([], np.float64(383.9995116971934))"
40,"([10, 17, 20, 22, 25, 33, 34, 35, 44], np.float64(101.82020512749746))","([], np.float64(369.93069698393856))"
41,"([11, 14, 15, 17, 22, 35, 41, 47], np.float64(90.45176714825755))","([], np.float64(381.80614869358374))"
42,"([11, 12, 15, 16, 40, 43, 46], np.float64(156.5824626155826))","([], np.float64(342.1463240219614))"
43,"([2, 8, 12, 25, 34, 43, 44, 46], np.float64(93.24295092807341))","([], np.float64(356.25879774037014))"
44,"([4, 7, 8, 11, 12, 30, 32, 36], np.float64(87.70046891913293))","([], np.float64(366.3331292544631))"
45,"([1, 2, 17, 23, 24, 33, 36, 37, 39, 44], np.float64(16.641725453039943))","([], np.float64(372.96371119686887))"
46,"([8, 15, 20, 21, 26, 28, 34, 49], np.float64(90.56170984254251))","([], np.float64(365.884721399465))"
47,"([4, 10, 12, 13, 32, 35, 44], np.float64(162.53318993394313))","([], np.float64(375.3010620873844))"
48,"([5, 6, 10, 16, 32, 35, 39, 41, 42, 43], np.float64(13.671606236524486))","([], np.float64(335.3590613833132))"
49,"([0, 2, 9, 10, 22, 30, 34, 48], np.float64(155.32442771332666))","([], np.float64(389.69998478459706))"
50,"([5, 25, 28, 34, 35, 36, 43, 49], np.float64(84.94243827107799))","([], np.float64(352.57174728349696))"
51,"([5, 10, 15, 22, 24, 26, 31, 39], np.float64(108.4432011542724))","([], np.float64(369.9785569615557))"
52,"([0, 7, 25, 29, 38, 42, 44, 46, 47], np.float64(93.14527761775261))","([], np.float64(366.90457816983877))"
53,"([4, 5, 20, 26, 40, 43, 47], np.float64(138.39197759340476))","([], np.float64(335.256868530793))"
54,"([6, 12, 17, 27, 28, 29, 33, 40, 45], np.float64(98.42982049145587))","([], np.float64(375.7544586096435))"
55,"([5, 15, 22, 36, 40, 43, 46, 49], np.float64(80.1097797298638))","([43, 46], np.float64(334.3181474398494))"
56,"([3, 12, 24, 27, 36, 39, 43], np.float64(171.03195219954046))","([], np.float64(361.33073410866245))"
57,"([4, 5, 9, 16, 19, 35], np.float64(151.82316015700152))","([], np.float64(359.8891200722523))"
58,"([8, 11, 12, 24, 25, 33, 34, 41], np.float64(93.04799942412109))","([], np.float64(329.45169181822257))"
59,"([4, 6, 7, 9, 15, 18, 28, 41, 45], np.float64(107.2206917245702))","([], np.float64(352.6438011815357))"
60,"([7, 10, 14, 21, 25, 30, 34, 42, 43, 45, 47], np.float64(21.71704663424682))","([], np.float64(356.5683866580015))"
61,"([1, 22, 24, 29, 37, 45, 46, 47, 49], np.float64(98.88462810536213))","([], np.float64(341.8612586864581))"
62,"([2, 11, 20, 25, 36, 41], np.float64(160.3868435636464))","([], np.float64(374.50939296054935))"
63,"([3, 6, 7, 10, 14, 25, 34], np.float64(172.49526720554832))","([], np.float64(337.11610528885944))"
64,"([6, 11, 20, 33, 39, 49], np.float64(167.89503959277357))","([], np.float64(356.4134280764034))"
65,"([1, 2, 11, 14, 15, 21, 25, 32, 45, 47], np.float64(111.64439528775466))","([], np.float64(374.1596260634662))"
66,"([16, 17, 21, 22, 25, 28], np.float64(172.71747280332545))","([], np.float64(413.74507315271376))"
67,"([5, 11, 13, 14, 20, 28, 45, 49], np.float64(90.76423246123355))","([4], np.float64(357.494797652619))"
68,"([3, 9, 11, 16, 18, 22, 23, 33, 34, 39], np.float64(7.638879844636479))","([], np.float64(371.71032276377235))"
69,"([9, 17, 18, 30, 31, 33, 37, 40, 45, 49], np.float64(14.399990390612542))","([37], np.float64(382.46985661754525))"
70,"([5, 7, 22, 28, 35, 39, 40, 41, 48, 49], np.float64(9.681266990785069))","([], np.float64(336.82906339506184))"
71,"([1, 7, 12, 25, 28, 36, 41], np.float64(165.9834598000851))","([], np.float64(369.2675775694671))"
72,"([1, 5, 15, 16, 28, 31, 45], np.float64(157.10836771372166))","([], np.float64(362.3422129280715))"
73,"([4, 6, 7, 27, 29, 37, 43, 48], np.float64(165.0122316726205))","([], np.float64(371.658842038984))"
74,"([3, 9, 22, 26, 29, 38, 47], np.float64(168.36385440275498))","([], np.float64(387.69664400744705))"
75,"([0, 6, 16, 18, 20, 22, 30], np.float64(162.39814348375262))","([], np.float64(365.0579875617202))"
76,"([1, 4, 32, 37, 39, 40, 45, 48], np.float64(166.38347868963254))","([], np.float64(339.5079921194242))"
77,"([3, 6, 7, 20, 25, 31, 39, 41], np.float64(77.13526013321523))","([], np.float64(329.62870472382207))"
78,"([5, 12, 16, 17, 21, 27, 47, 49], np.float64(94.74676485996693))","([], np.float64(339.00954206515627))"
79,"([2, 6, 11, 17, 21, 25, 27, 32], np.float64(88.09912030107688))","([], np.float64(358.84697195967624))"
80,"([0, 8, 10, 11, 22, 24, 26, 29, 42, 49], np.float64(102.41769296731132))","([], np.float64(362.7428290500611))"
81,"([3, 6, 7, 22, 32, 35, 43, 48], np.float64(91.13009559368906))","([], np.float64(351.6362386842094))"
82,"([5, 10, 12, 23, 33, 36, 37, 43], np.float64(88.99744504825782))","([], np.float64(370.71333032975406))"
83,"([1, 6, 18, 26, 28, 37, 39, 45], np.float64(94.37686348906526))","([], np.float64(371.5589297111767))"
84,"([13, 14, 24, 32, 34, 38, 42, 49], np.float64(168.4829939913936))","([7], np.float64(350.47218739246716))"
85,"([10, 12, 14, 18, 25, 26, 29, 35, 38, 47], np.float64(3.2382283571236394))","([], np.float64(349.91594102234717))"
86,"([2, 6, 15, 19, 26, 27, 29, 43, 49], np.float64(104.6857243620197))","([34], np.float64(367.0017918170138))"
87,"([8, 12, 31, 33, 37, 40, 43], np.float64(238.9598496841811))","([], np.float64(341.88434078426917))"
88,"([2, 5, 15, 16, 17, 24, 25, 30, 48], np.float64(163.92193054517008))","([], np.float64(405.01495129828675))"
89,"([0, 1, 8, 22, 29, 30, 33, 37, 42, 48], np.float64(21.732072101550507))","([], np.float64(379.2207395427263))"
90,"([9, 12, 13, 14, 27, 38, 39, 44], np.float64(79.1068451160967))","([], np.float64(340.6762845042003))"
91,"([2, 6, 11, 13, 15, 16, 20, 29, 43, 48], np.float64(13.58617365998595))","([16], np.float64(400.4974557610578))"
92,"([3, 5, 7, 13, 20, 23, 28, 41, 44], np.float64(91.07309627732215))","([], np.float64(356.1693479054554))"
93,"([2, 11, 18, 26, 32, 39], np.float64(145.1461419412573))","([], np.float64(359.4304123226609))"
94,"([1, 3, 21, 38], np.float64(236.0160628485097))","([], np.float64(388.90407623568245))"
95,"([4, 9, 10, 28, 30, 33, 36, 42, 43, 44], np.float64(8.939742263550437))","([], np.float64(341.4464113913658))"
96,"([7, 24, 27, 30, 35, 36, 40, 47], np.float64(184.76946780873484))","([], np.float64(358.66743662767857))"
97,"([4, 7, 17, 25, 30, 35, 44, 46, 48], np.float64(96.88106498088585))","([], np.float64(344.46505974648403))"
98,"([1, 5, 13, 15, 19, 24, 26, 33, 42, 44], np.float64(20.497407752878665))","([], np.float64(367.38708085423616))"
99,"([8, 11, 15, 20, 21, 23, 24, 29, 33, 40, 44], np.float64(20.768403165753135))","([], np.float64(350.57437363937464))"
