run_id,harderLASSO ANN,LASSO ANN,baseline error
36,"([0, 2, 3], 0.9133522727272727)","([0, 1, 3, 4, 6, 8], 0.7159090909090909)",0.16477272727272727
37,"([0, 2, 3], 0.9204545454545454)","([0, 1, 3, 4, 6, 8], 0.7201704545454546)",0.1590909090909091
38,"([0, 2, 3], 0.9076704545454546)","([0, 3, 4, 6], 0.7102272727272727)",0.13352272727272727
39,"([0, 2, 3], 0.9019886363636364)","([0, 1, 3, 4, 6, 8], 0.7372159090909091)",0.17897727272727273
40,"([0, 2, 3], 0.9119318181818182)","([0, 1, 3, 4, 6, 8], 0.7088068181818182)",0.1590909090909091
41,"([0, 2, 3], 0.9061166429587483)","([0, 1, 3, 4, 6, 8], 0.7197724039829303)",0.16358463726884778
42,"([0, 2, 3], 0.9004267425320057)","([0, 1, 3, 6, 8], 0.7069701280227596)",0.13513513513513514
43,"([0, 2, 3], 0.8963068181818182)","([0, 1, 3, 4, 6, 8], 0.7315340909090909)",0.16051136363636365
44,"([0, 2, 3], 0.9260312944523471)","([0, 1, 3, 4, 6, 8], 0.7382645803698435)",0.16642958748221906
45,"([0, 2, 3], 0.9103840682788051)","([0, 3, 4, 6, 8], 0.7425320056899004)",0.1593172119487909
46,"([0, 2, 3], 0.9176136363636364)","([0, 1, 3, 4, 6, 8], 0.7017045454545454)",0.16761363636363635
47,"([0, 2, 3], 0.8991477272727273)","([0, 1, 3, 4, 6, 8], 0.7357954545454546)",0.16335227272727273
48,"([0, 2, 3], 0.9346590909090909)","([0, 1, 3, 4, 6, 8], 0.7272727272727273)",0.16335227272727273
49,"([0, 2, 3], 0.9203413940256046)","([0, 1, 3, 4, 6, 8], 0.7467994310099573)",0.14082503556187767
