run_id,harderLASSO ANN,LASSO ANN,harderLASSO linear,LASSO linear
41,"([29, 42, 63, 215], np.float64(0.14611451202195486))","([29, 42, 63, 215], np.float64(0.19646889598695016))","([29, 42, 63, 215], np.float64(0.07064034249451055))","([29, 42, 63, 215], np.float64(0.07224436843820757))"
42,"([28, 133, 155, 166], np.float64(0.3815256929354249))","([28, 133, 155, 166], np.float64(0.04217178639362823))","([28, 133, 155, 166], np.float64(0.0314502391765855))","([28, 133, 155, 166], np.float64(0.03271254805323664))"
43,"([92, 93, 235, 239], np.float64(0.8723081517691954))","([92, 93, 235, 239], np.float64(0.07178944739973599))","([47, 92, 93, 235, 239], np.float64(0.29674747680642194))","([92, 93, 235, 239], np.float64(0.06507658382714672))"
44,"([37, 109, 216, 224], np.float64(0.13067934372464293))","([109], np.float64(25.476988031110935))","([37, 109, 216, 224], np.float64(0.031425608775643155))","([37, 109, 216, 224], np.float64(0.030992012384316134))"
45,"([34, 145, 210, 224], np.float64(1.0279428564070856))","([34, 224], np.float64(17.22657813212519))","([34, 145, 210, 224], np.float64(0.07926490496321971))","([34, 145, 224], np.float64(9.215871096183536))"
46,"([74, 165, 187, 233], np.float64(0.9615061230702797))","([74, 165, 187, 233], np.float64(0.9706062048852514))","([74, 165, 187, 233], np.float64(0.09455294811585763))","([74, 165, 187, 233], np.float64(0.09599182531006613))"
47,"([8, 83, 92, 225], np.float64(0.08675989792408889))","([8, 83, 92, 225], np.float64(0.1968968325558199))","([8, 83, 92, 225], np.float64(0.008132261530924476))","([8, 83, 92, 225], np.float64(0.007248495127743997))"
48,"([6, 40, 196, 222], np.float64(0.38636241071606764))","([6, 40, 196, 222], np.float64(0.13422943192477585))","([6, 40, 196, 222], np.float64(0.015095611323610128))","([6, 40, 196, 222], np.float64(0.014995612605867277))"
49,"([58, 122, 123, 140], np.float64(0.4559316610772179))","([58, 122, 123, 140], np.float64(0.22354633251594994))","([58, 122, 123, 140], np.float64(0.12090747575488443))","([58, 122, 123, 140], np.float64(0.12090081903869322))"
50,"([5, 74, 132, 181], np.float64(1.533268253122741))","([5, 74, 181], np.float64(9.90173003048516))","([5, 74, 132, 181], np.float64(0.3067348755139774))","([5, 74, 132, 181], np.float64(0.3010996193262533))"
51,"([30, 98, 221, 224], np.float64(0.8063815485869985))","([30, 98, 221, 224], np.float64(0.0888380671971289))","([30, 98, 113, 221, 224], np.float64(0.2995732470772992))","([30, 98, 221, 224], np.float64(0.08969557754280479))"
52,"([80, 86, 174, 204], np.float64(0.5540191125077849))","([80, 86, 174], np.float64(9.150228040221366))","([80, 86, 174, 204], np.float64(0.029231260437462454))","([80, 86, 174], np.float64(9.044545028566597))"
53,"([22, 23, 48, 147], np.float64(0.30805849729064005))","([22, 23, 48, 147], np.float64(0.047528227448836675))","([22, 23, 48, 147], np.float64(0.04272950386386307))","([22, 23, 48, 147], np.float64(0.039914714630961044))"
